"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Discussion","29925R","048","12:00-12:50pm","Friday","58","3","0","Shahriar Shamsian","VKC100"
"","","","","Discussion","29926R","048","12:00-12:50pm","Friday","58","1","0","Jeff Miller","THH208"
"","","","","Discussion","29927R","048","1:00-1:50pm","Friday","58","3","0","Shahriar Shamsian","OHE132"
"","","","","Quiz","30227R","048","8:00-9:50pm","Friday","500","11","0","","TBA"
"","","","","Lecture","30099D","034","6:40-9:20pm","Wednesday","25","4","0","","DEN@Viterbi"
"","","","","Discussion","29952R","034","1:00-1:50pm","Friday","25","4","0","","DEN@Viterbi"
"","","","","Quiz","29953R","034","8:00-9:50pm","Friday","25","4","0","","DEN@Viterbi"
"CSCI-571","Web Technologies","","4.0 units","Lecture","30322D","048","7:30-9:20pm","Tue, Thu","150","4","0","Marco Papa","SAL101"
"","","","","Lecture","30378D","048","5:30-7:20pm","Tue, Thu","150","1","0","Marco Papa","SAL101"
"","","","","Discussion","30109R","048","TBA","TBA","300","5","0","","OFFICE"
"CSCI-572","Information Retrieval and Web Search Engines","P","4.0 units","Lecture","30151D","048","10:00-11:50am","Mon, Wed","150","3","0","Ellis Horowitz","MHP101"
"","","","","Discussion","30152R","048","TBA","TBA","150","3","0","","OFFICE"
"CSCI-575","Wireless and Mobile Networks Design and Laboratory","P","3.0 units","Lecture-Lab","30852R","048","2:00-4:50pm","Friday","21","18","0","Bhaskar Krishnamachari","KAP134"
"CSCI-576","Multimedia Systems Design","","4.0 units","Lecture","30082D","034","6:40-10:00pm","Monday","10","4","0","Parag Havaldar","DEN@Viterbi"
"","","","","Lecture","30319D","048","6:40-10:00pm","Monday","120","4","0","Parag Havaldar","SGM124"
"CSCI-577b","Software Engineering","PC","4.0 units","Lecture","30129D","034","3:00-6:20pm","Friday","35","4","0","","DEN@Viterbi"
"","","","","Lecture","30130D","048","3:00-6:20pm","Friday","40","0","0","","OHE100C"
"CSCI-578","Software Architectures","","4.0 units","Lecture","30136D","034","9:00-10:50am","Mon, Wed","22","8","0","Nenad Medvidovic","DEN@Viterbi"
"","","","","Lecture","30137D","048","9:00-10:50am","Mon, Wed","40","2","0","Nenad Medvidovic","OHE100C"
