"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Lecture","03637R","941",":-:am","TBA","10","3","0","Elizabeth Carroll",", OFFICE"
"","","","","Lecture","03638R","941","TBA","TBA","1","1","0","Elizabeth Carroll","OFFICE"
"LAW-871","First Amendment","M","2.0-4.0 units","Lecture","03640R","941","10:00-11:15am","Mon, Wed","35","21","0","Michael Shapiro","LAW2, LAW2"
"LAW-872","Advanced Legal Writing and Advocacy: Appellate Advocacy","M","1.0-4.0 units","Lecture","03581D","941","5:00-7:30pm","Thursday","12","12","0","Jonathan Libby","LAW107"
"LAW-882","Advanced Legal Writing for Pretrial Practice","M","2.0-3.0 units","Lecture","03658D","941","9:30-10:45am","Tue, Thu","15","15","0","Elizabeth Carroll, Patricia Libby","LAW118"
"LAW-883","Advanced Legal Writing for International Business Lawyers","M","2.0 units","Lecture","03659R","941","10:00-11:50am","Wednesday","12","6","0","Julie Ryan","LAW107"
"LAW-885","Advanced Legal Writing: A Partnership with Public Counsel","M","2.0 units","Lecture","03661R","941","10:00-11:50am","Monday","20","13","0","Elizabeth Carroll, Rebecca Lonergan","LAW118"
"LAW-892","Post-Conviction Justice Seminar II","PM","1.0-5.0 units, max 5","Lecture","03668D","941",":-:am","TBA","16","15","0","Mike Brennan, Heidi Rummel",", OFFICE"
"LAW-893","Advanced Clinical Training","M","1.0-5.0 units, max 10","Lecture","03670D","941",":-:am","TBA","1","1","0","Heidi Rummel, Mike Brennan",", OFFICE"
"","","","","Lecture","03671D","941",":-:am","TBA","2","2","0","Hannah Garry",", OFFICE"
"","","","","Lecture","03672D","941",":-:am","TBA","2","2","0","Mike Brennan",", OFFICE"
"","","","","Lecture","03673D","941",":-:am","TBA","1","1","0","Niels Frenzen",", OFFICE"
"","","","","Lecture","03674D","941",":-:am","TBA","2","2","0","Michael Chasalow",", OFFICE"
"","","","","Lecture","03675D","941",":-:am","TBA","2","2","0","Heidi Rummel, Mike Brennan",", OFFICE"
